date	a	b	c	d
201705	59.39858784	1.011659642	-55.78302788	1.044859241
201706	302.4136675	1.111468674	-298.2595471	1.126098645
201707	533.8911082	0.923594389	-529.0667524	0.930311439
201708	5.335725479	0.47839137	0.167213878	108.7864281
201709	2.943968128	0.485932238	2.22298375	0.48592753
201710	2.24408214	0.42415128	2.864271834	0.424149847
201711	4.227005756	0.254703477	1.075764978	4.275892238
201712	2.323889587	0.039674146	3.609118419	0.950641548
201801	3.91513889	0.225763679	2.223842916	1.849578503
201802	4.230680632	0.253087772	1.791103265	2.288943521
201803	4.265146713	0.282392758	1.674192411	2.216908764
201804	0.723519104	3.526651103	5.134113739	0.369855627
201805	2.559647607	0.497205625	3.266540416	0.497203739
201806	3.013612608	0.525197824	3.013985131	0.525194679
201807	3.070254989	0.591546227	3.070423689	0.591463775
201808	3.42553771	0.492248606	2.542958671	0.492242567
201809	3.389832861	0.546129748	3.413256921	0.546127237
201810	3.17988144	0.330918289	3.174030505	0.330918418
201811	3.750327004	0.605850099	2.692598162	0.164713641
201812	1.111787905	1.93234475	5.133100516	0.257927591
201901	2.9873357	0.3464743	2.963239953	0.346477959
201902	2.975975027	0.36002813	3.043467988	0.360026443
201903	3.041911382	0.367851607	3.046254643	0.36783307
201904	4.530087851	0.247020202	1.517172801	2.479015524
201905	4.617668116	0.292739277	1.310897441	2.513336098
201906	4.601061128	0.295648463	1.342040834	2.246457079
201907	4.761353	0.338042644	1.05940665	2.270495232
201908	2.606797098	0.465139603	3.106672619	0.465143607
201909	4.769953035	0.429712405	0.901447444	2.562383586
201910	4.981239428	0.684189534	0.687785171	0.186348233
201911	4.195117254	0.579067746	1.617157994	0.579041901
201912	6.081404523	0.543877451	0.059911478	-0.402452286
202001	3.380261624	0.493167516	3.338705749	0.493183565
202002	3.19718507	0.416507826	2.603648839	0.416508178
202003	3.028544611	0.524712633	3.028544618	0.524712633
202004	2.414380778	0.367801611	2.912816162	0.367799672
202005	0.843947556	1.905845332	4.772101167	0.289477916
202006	5.376614917	0.622796762	0.543939852	-0.324976898
202007	3.486082161	1.010381915	2.577990359	0.09981223
202008	3.638130931	0.214659423	2.354222593	1.396909602
202009	3.976602767	0.259722481	2.112373368	1.611096978
202010	4.709051613	0.33342306	1.142767494	2.856224974
202011	2.716189215	0.428443689	2.856507994	0.428446394
202012	3.403433928	0.456923059	1.902040001	0.456922911
202101	2.054526726	0.523312496	3.493854683	0.523275564
202102	2.625701642	0.524892962	2.682985616	0.524837571
202103	2.301533264	0.459285558	3.173740088	0.459281826
202104	2.687716045	0.397239146	2.71245039	0.397233018
202105	3.056338164	0.310312457	1.716790604	0.310313214
202106	1.756621059	0.319338361	3.033427513	0.319335006
202107	4.282696787	0.248483663	2.35942E-05	-1.13184658
202108	3.03774799	0.316226726	1.568748424	0.316248041
202109	3.844907566	0.320008787	0.423731584	-0.080072442
202110	4.262874224	0.253067441	7.98206E-05	-1.262024346
202111	0.972059791	2.532340238	4.011622909	0.225247053
202112	4.410585885	0.266709677	0.790781727	3.491295449
202201	1.24536E-07	-2.893014858	4.587785566	0.303738622
202202	0.804260074	4.537897955	4.094178647	0.28179599
202203	1.440353117	0.368819271	3.15141806	0.368818902
202204	4.447456027	0.390893514	0.243893816	17.1993867
